    Type,Air_Temp_K,Process_Temp_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Min,Machine_Failure
??,298.03194059461043,309.443521960975,2267.1757783512735,75.21200884408313,30,0
Medium,,314.4399590671061,1573.9051447089523,76.30422044473978,176,0
Medium,300.63288930953814,305.4783881250704,1983.4307389104256,71.03946617979933,140,0
Medium,296.1995369302389,313.50171945205045,1825.4013584573256,27.546342429802696,232,0
Medium,304.16791690702337,314.97582592945975,1343.5327223034096,70.07248704174404,168,0
Medium,302.20655145283115,313.86942110882865,2200.8903035559824,44.83467482863842,243,1
??,299.01445630913196,313.1043658561563,1992.3443082744739,51.64511661805777,220,0
Medium,296.5862414452638,308.74305993406324,1640.2784430441332,68.84204357529016,155,0
Low,303.8199216972164,307.3131418226229,1957.8964166453943,12.070799118166626,126,0
High,303.23778090101166,312.348505204996,2440.4768294360047,,235,0
Medium,302.2172155271718,308.04575366288566,2482.652420492902,67.09853640711259,63,0
Medium,297.7154704741124,306.7603968215497,2239.2418059989905,66.97683486612061,116,0
??,299.02446637433667,312.8652588710359,1948.396533440262,69.4081548818053,18,0
Medium,296.02748252452426,308.12543652236724,2121.1994227261566,21.84511300976439,214,0
Medium,296.8903952472753,314.1444172948734,1816.0245941689873,59.4120632759572,110,0
Medium,302.83016637316734,313.40632644819124,1402.4901487907812,20.2552338353793,113,0
??,302.15038718850684,313.47640329509255,1816.9929558177469,64.95686062657177,199,0
Medium,300.93485762975934,312.7156972605583,2048.532409711415,27.158820311815525,24,0
High,,313.80881423774736,2158.1344234409344,61.647240931086216,165,0
??,300.83266517813047,313.0574689217812,2697.281561687393,41.85011329695807,120,1
High,299.6696799996361,311.0251136357473,2443.733512048986,79.03844251869407,229,0
??,298.40370746305763,307.95822718581866,1443.1880983114838,50.592568152449665,98,0
Medium,,313.88209193214146,1478.691530644685,54.28055549542003,89,0
High,295.82715461524356,313.40603622773193,1360.7916147836065,35.77144596959012,2,0
??,304.30887372060806,309.7287932221054,2381.0907635534686,61.41641104932032,129,0
Low,303.2671465993102,305.39078686001955,2329.795645586971,,4,1
Medium,296.299299245357,311.3854372740191,2778.1806427150095,11.26466445671049,188,0
??,300.6498435767525,305.5059685367658,2035.237468262958,52.60071185129516,19,0
Low,303.66547981749085,314.26279961848405,2522.263886158211,68.1321713300553,203,0
??,300.71809163607156,314.61631256625304,2122.30377382846,26.576123904231547,37,0
Low,304.07199821560624,306.89490145899606,2598.5387400438995,25.474462855962923,207,0
Medium,,311.7638937805491,2353.6336628844024,52.622032818348934,100,0
High,299.2238452218431,305.92269004562763,2228.6144239860046,67.25854934978457,127,0
Low,298.7731366140632,312.2951692857312,2104.1962735728807,27.47342364905031,101,0
??,304.3632115396916,308.47287666152675,2356.75283910876,75.25838558701274,35,0
Medium,301.7514006114967,311.81050111730445,1871.4461482736167,74.91711496770843,173,0
Low,296.1602268134817,308.7287650920218,1354.5225291290626,24.037567033555334,220,0
??,295.4229174922268,306.45567509833234,1263.9778060765452,28.4649088439771,98,0
??,300.64629050997263,309.0610998050256,1966.4379705746783,,112,0
??,304.30170965438424,306.1267352663479,2158.866531552226,76.62131763170981,36,0
Low,303.4424870240582,310.76883274976944,1326.1584489130007,59.691788214342026,53,0
Low,301.75847746464336,305.4095153214948,1659.0456782593635,41.14300348743766,148,0
Low,296.3911584889109,310.2731967959986,1715.2515295607793,21.830094249855218,148,0
High,297.542313837487,313.86368647095543,2100.472856333202,42.27068941877348,91,0
Low,303.7551122655262,313.3787327011936,1645.5719296684624,52.47374543793881,69,1
Low,296.828072366569,313.82781699626497,1353.0377592896107,,83,0
Low,297.7843940825043,314.2204880212711,1463.7707855144802,45.718047484006284,187,0
High,296.29600651195443,306.04527887875696,1478.316482566709,19.114988983009415,163,0
Low,301.7610823141441,306.2874720287571,2548.3119107564185,41.65316731588105,204,1
??,304.4398230536321,310.57006806313126,1654.9114991652664,16.35430732506878,231,0
Low,297.68968031595386,313.9397266842443,2343.506774263611,13.436212496429341,10,0
??,299.7540660785007,314.7434945652403,2108.541994142889,70.00679409195291,87,0
??,301.343397397112,305.4626191734,2763.262005786307,24.355710890225243,210,0
??,304.9946624821563,308.5577408420066,1636.5162702083235,50.26087303895533,86,0
High,296.0480806499757,307.12894254659994,1453.3968328467204,20.42879308869947,30,0
High,299.9857079950571,312.5596584893125,1283.2605403112966,28.376929963650394,100,0
High,298.851201199025,311.40193868537034,1585.5354596500488,35.2937593838639,164,0
Low,303.65820165222357,306.19888031483845,2294.513418264628,20.057350544833916,59,0
??,299.75967731011656,309.8352206736497,1336.413159418977,13.217360790777722,60,0
High,296.1097752458515,311.8544052237129,1591.5229522394536,71.40118614126078,66,0
High,301.34424145286584,312.79005393924035,2568.4933890944194,10.828298511584048,225,0
Low,302.7078061826388,305.2005270978401,2132.7247189832324,14.292468798454747,156,0
High,295.02881251665616,313.90469573983887,1311.2344644051127,66.35505125796718,194,0
Low,303.5895668542063,310.69281382950527,1276.2930307996212,29.740583574113924,78,0
Medium,296.8602300000567,313.11909114959906,1297.796600521227,60.59742107802881,70,1
High,300.5206936465338,313.0793803001428,2707.0000802356044,20.235802445253963,66,0
Medium,299.1579750068745,306.8985266027097,2559.7942856976874,26.609722401770355,127,0
Low,302.1965381661053,306.10172120253634,2551.90406723004,50.09435616178954,110,0
??,298.7116161478574,312.2128726897383,2678.7468195896736,79.20450869424984,234,0
High,303.6976317668171,306.5642691882162,2008.4086244014566,15.141112911145623,15,0
Low,302.3049636095879,313.4993749140472,1595.7514738293503,38.038821858728255,44,0
??,301.47713171062924,312.26189483862106,1842.156806781629,,33,0
??,302.9624059556285,313.41825364365263,2350.182516614097,23.94585098591824,211,0
Medium,302.54023034928383,307.9901267960935,2601.652594434024,73.52297187869532,43,0
Low,295.35938674921556,308.1659806041057,1896.1454827192388,16.752207265283875,116,0
??,298.9473435384483,311.7122155634632,2056.6095286112977,69.97991449629436,124,1
High,304.3080729731649,305.31445955058945,2690.852789242005,22.446226667705687,102,0
High,296.25724268992224,312.2649674633742,1371.9978193750865,70.32493925763927,224,0
Medium,302.3709655043205,313.35783070854603,2579.6787471585985,47.661537419497265,205,0
??,304.7459181133533,309.15163586604103,1454.8919716030975,71.47446719587904,119,0
Low,295.5219862904497,312.6487883008847,1974.1781604649923,20.61925512560643,169,0
High,301.82193880626613,306.7461091698226,1549.4770058608954,63.34255859154782,34,0
??,299.6815414130103,308.2226039381948,2164.7162091049668,57.64890172564037,125,0
??,300.79175255374724,314.7430496311048,2093.7174747332256,48.00533711750737,74,0
Medium,295.8534133648432,314.8632817356013,1808.011782785203,66.7411141087681,245,0
High,295.43006951866937,310.1260505302159,2581.285623752199,55.37932170989278,83,0
High,301.6686666055092,314.3426979146388,2255.7013124608957,71.39328472254246,157,0
Low,303.23309429820716,310.22730678056854,2353.9281999391096,,52,0
High,302.82015334932964,307.9158812816116,1441.0555811322697,51.29462247916705,57,0
Low,300.43805727866237,307.66899288098773,2613.065084760988,70.94205898029982,155,0
High,,314.2950570536815,1467.2642617920294,25.036984487289423,142,0
Medium,301.88044443836014,306.7244638897386,1556.4559427359363,44.001894963179794,165,0
High,297.41888883554145,310.7963245820182,1404.8882215950086,77.25192752100682,49,1
Low,304.11068702767386,310.5552506806272,1904.5747327501049,43.15212610462791,140,0
Low,303.38265359545704,312.39621684652997,2620.3347708036954,27.69806116368782,110,0
Medium,302.0938296708739,309.99242907524774,1603.9160313757752,34.575336712026676,162,0
High,304.4884595583113,307.7228566070813,1798.0054726767253,71.95588835614126,110,0
High,295.3142182151127,306.6939649963158,2553.7062721206753,76.84181271372852,151,0
Medium,302.36200425060764,311.2081880350589,2188.504447614223,76.50753498802975,119,0
High,298.3024277933641,312.1899075685323,2402.586229834043,58.92596743779998,64,0
High,304.06065885686365,310.6952127868203,1542.4000790977839,45.67213221772287,105,0
Low,297.66675196661976,312.38351277121194,2346.3837813321206,22.78822544351393,215,1
High,302.2485649931502,306.4152120244996,1564.176925826836,18.62547084493252,90,0
High,303.77647019650783,313.82470194943136,2779.702371537058,14.183662534894236,145,0
Medium,295.4165681838268,310.823955084085,2095.8178498027796,11.240043665627848,185,0
Medium,298.97647579592035,306.268439268926,2313.022812869019,71.46817054739773,25,0
??,302.6230903202194,309.6192520420573,1389.4425346264045,66.63604210623411,156,0
Low,,313.4479173786591,1601.0495680665113,49.74749663503296,71,0
High,297.672526297936,313.9756219345316,1423.585055302967,,43,0
High,297.1980534882319,307.6464950499876,1824.273144434757,76.71364505411488,89,0
??,296.3151826691638,312.11265824710455,1654.6173827286375,55.857627950029446,132,0
High,303.5712955985628,305.9998524748378,2372.6756154089107,42.52021969281774,160,0
Low,,305.33545871412156,1373.934367405042,20.651950127919072,231,1
??,295.7638494499146,310.6039895381994,2403.2949895205893,46.09156636780467,123,0
Low,298.82580323570636,311.94827579328125,1273.12771942174,21.04205710198691,4,0
??,298.6773365080511,312.957867311765,1523.228539715828,37.891591297233234,126,0
??,296.81739190709465,308.4021623845533,2467.143987143365,75.98536759029257,112,0
Medium,299.3550762547219,305.0652541042889,2388.442625772632,33.93852925349462,110,0
Low,298.32099365393134,309.79519237111356,1962.1217822701815,20.695109155042697,163,1
High,298.4180370549218,305.1585354537357,1279.9723441240828,50.767762296535025,76,0
High,302.3902655778796,305.919845106708,2175.829986670879,52.16549218892305,208,0
Low,297.232633855052,308.26689022531747,1850.7585663585573,23.56629697275411,12,0
High,301.41859958855355,309.3717204956018,1706.4450403167516,23.761061130737218,152,0
High,300.70649623880934,307.7946944122965,2224.657018922455,79.26848539273789,57,0
Low,300.6809251233787,310.81865266504707,1898.583299522762,27.02967510035484,129,0
??,301.63007346141774,305.5534978921809,1347.8737607250857,68.67344243485088,87,0
Low,300.48382036195653,306.44579710239583,2665.5207528197507,42.92266778821857,35,0
??,303.7925511484639,311.9525840075543,2445.5889591254063,40.449246723890965,24,0
High,301.7558009195026,306.4214085359792,1290.205106064884,30.647369131462668,33,0
High,300.46963251371386,311.3977520157042,2040.102192305113,64.16780578246315,139,0
High,303.29763120287646,305.54684620753363,1333.4041006378052,71.64626149090884,18,0
Medium,301.0614656493348,309.0738227911914,2539.663774493576,28.27892230913562,113,0
??,297.9114424778518,306.7740947012118,2180.8223376831547,16.65676685443798,105,0
Medium,297.07094918176574,306.0963628253519,1475.9186137169095,19.58436870199269,221,0
Medium,296.5232778566268,310.6703278350123,1233.1861484899212,65.49624743363708,36,0
Low,303.99455212546104,314.28335772005624,1250.529619434273,40.5078837923738,106,0
Medium,302.1013543179807,305.5478704792355,2011.7847553037277,19.234026088750603,128,0
Low,,309.21554248218035,2374.997565882838,33.82017444937372,59,0
Low,301.03291805714946,312.07535437745446,1393.3447221343347,45.99648379971371,66,1
Medium,299.7340088149491,309.6268783168783,1554.054505463932,69.64361786915057,176,1
??,295.5971648897089,313.06495946105247,1723.6159122712515,54.92202779576225,217,0
??,301.7164228154603,306.7964531586413,1548.9228512978448,22.32229607560005,78,0
??,300.8220875976823,314.5959420502774,1826.1385002994539,21.10918986508355,173,0
??,304.90208893587624,308.8516262777254,2095.3840092241217,38.863395094332574,247,0
??,,308.41569632944277,2295.8987971860947,15.263499339122948,110,0
Medium,300.30737355286834,313.7460579450317,2742.0402915315653,62.89040366987111,47,0
Medium,301.50957335118073,310.63867031891766,2689.349871493111,38.10176742126404,219,0
High,301.44591174742345,310.1644434190282,2112.203159726263,34.01166409469732,195,0
??,300.612935429484,312.2697791952843,2374.6400903301674,45.63758326740051,146,0
Medium,302.76928010327225,310.7983423828109,2721.395527400685,59.62697626339934,87,0
High,297.0498120952682,306.62515644757116,1333.5551112662476,49.85428611451365,248,0
??,302.25627200274414,311.7419762286493,1209.0156157782867,66.1681947205391,39,0
Low,301.1973457143309,306.3346887928213,1247.6796219673333,54.05537947090822,133,0
High,303.96075111794573,313.0585770533406,2101.358979796742,65.15791871857846,207,0
Medium,303.4719443903358,314.8973659771227,2420.533480484055,58.77475914952724,95,0
Low,298.1514703913255,308.7738762497478,1787.3199211920555,23.518598818461555,221,0
Low,297.76237324975153,309.4475589820201,2072.38267956419,13.664811513005914,190,0
Low,304.81653323852447,305.46433655482815,2026.186109677659,73.2377760352367,162,0
High,300.2726518091526,305.1373318808258,1351.6334265472312,76.19593157674589,199,0
Medium,304.0642096391444,314.2141933487633,1714.5412227584784,60.88526076420305,60,0
Low,296.6388102378048,306.28624060439193,1231.0962482916832,60.69440758871643,4,0
??,301.42818914800176,309.4577874755947,1377.1291020904173,28.910295634587666,36,0
Low,303.09860187360584,313.15354623855563,2498.9731566556447,47.9709196217283,203,0
Low,304.47395249586447,313.8931875992832,2527.0615955973103,79.45677645932258,216,0
High,298.37340141017023,310.1939768528347,2483.1141120721113,69.93005186490137,224,0
High,302.2498116992405,310.6503252497595,2362.9098255235785,31.307604678639766,230,0
Medium,300.3881300903962,311.69683972463275,2469.3005542398428,31.073210598852327,215,0
??,295.6062892606647,314.6138247014371,2273.5717460312294,43.85041038036414,138,0
High,301.89999737308943,311.0266996094451,2271.733342106062,38.321906631744916,105,0
Low,301.90096558237843,310.5947525945635,2267.7788759868927,35.98071323961223,98,0
Medium,304.30606804846536,305.1453413526599,2022.4684634851267,53.88803361642723,167,0
Low,299.97312446168974,305.80949702022355,1781.3555735437512,10.80447287434763,192,0
Low,297.3025092071052,310.77171626623993,2368.3124258584876,63.43377452232938,7,0
High,,314.36240387807203,1677.8336217387864,61.803709767304944,86,0
Medium,299.15642186685903,313.66691348399394,2068.643410364191,68.12279764162909,83,0
??,298.01916700077504,314.82578922992207,1893.3689923486102,68.90154713147695,223,0
??,302.61088306023873,310.27834037561274,1642.5956433499218,49.647978633232796,10,0
High,298.54267764841046,312.8793093843777,2759.503872723941,64.60517549363034,70,0
High,304.49071196314844,313.40400331489343,1614.0026323229113,44.467658783636345,185,0
Medium,304.6231020298778,311.48031657330864,1694.868901956848,76.60708854928103,93,0
??,301.2090859021771,308.38749904214507,1458.5400028129093,23.34889708512043,122,0
??,304.28660287014884,309.6997843465779,2516.769000502865,74.09319644517295,175,0
??,302.60854344514496,313.57917072243566,2138.543040887183,28.097125288740617,230,0
Low,300.4685964097513,307.98547925982166,2180.862810355817,17.19063615807964,140,0
??,296.8030793542278,314.2374313126665,2512.8982588785566,40.73731131848772,105,0
Low,299.5859794351384,307.29806341422665,1748.671453807807,53.044206969124154,187,0
Medium,300.6087446336262,312.4951641515678,1509.8134806083422,26.169291123996658,48,0
Low,303.6396158073501,311.30559234345736,1517.4485823902464,48.90573688010085,194,0
Medium,299.8133337653567,312.4959944112076,2372.191714339615,66.55253498541532,6,0
??,303.97674672677954,309.37347572432594,2182.584247139916,27.995947606260593,234,1
??,301.74348979023466,314.32641062553984,1530.142205731342,50.62255721399421,204,0
Medium,296.36999063053673,311.32472202411475,1432.1046314246778,33.75188173351562,100,0
High,304.9498136932509,307.8829580455426,1393.0996882591564,47.08379272713362,152,0
Medium,300.2723266075391,311.38455070652145,2204.4778363248606,56.68433137024786,150,0
High,298.9185829640908,307.8681574720703,1200.18983185736,34.52958002712647,50,0
Low,301.59113764469527,307.93632391759877,1229.31094816567,,174,0
Low,,308.99598511620866,1823.2850170017523,49.46426389007486,224,0
Low,301.36538646753354,313.5243041756912,2306.15978284186,67.71230913650571,4,0
??,299.98236000499276,310.00297874393993,2312.0630023958465,60.75946560375538,223,1
Low,299.0667406999858,311.78900842230206,1888.189237772305,69.69637195920635,221,0
High,304.530200211789,308.91967740274464,2305.717770567311,22.166066817699754,222,0
Low,300.2253971673205,307.63605439806884,2033.7538873282006,25.57875968093697,12,0
Medium,297.1911747946994,314.5464016071623,2763.0902668757044,44.11878245232032,41,0
Medium,299.589634793773,311.0358124712306,1459.936342138933,69.66300735398096,124,0
??,304.1938740457267,314.33951338582716,2161.067628328969,23.832460697360112,132,0
Medium,296.7609547133059,307.0341300219832,1985.9820415216059,77.97460824751089,150,1
High,297.1395703868824,306.46894163912935,1511.1461514523112,18.932161582059898,61,0
Low,295.1302956775708,313.55822907123905,2399.9846914267255,22.25545616263556,128,0
??,295.1419004939577,311.80917212617254,1640.8128318911924,21.70636483562528,73,0
Low,303.2939162695851,306.8657849925364,1810.7357105496667,51.02041671242337,113,0
Low,302.32122606842955,307.6935970066354,1799.728911340048,74.22787571176451,218,0
High,298.5504105645196,313.0066394152531,1590.7271571007182,,53,0
Medium,301.98311157227573,309.5386861999594,1889.1285307174483,48.7125797420993,199,0
Medium,298.9520592630997,311.7054050650609,1957.3534094841893,22.304075703322255,115,0
Low,304.5289679599783,308.1835202213601,2390.754676494892,54.179582734545896,130,0
??,304.67052681426037,308.8122995277488,2424.1097190032597,18.62724353256582,82,0
Medium,298.92793775809344,314.9071255862311,1453.6895492666592,44.39175372588885,191,0
??,303.54221906340865,307.4761708717472,2148.4356789240514,,178,0
Medium,302.73089041697466,310.0645637703651,2633.916477247033,50.53895417288572,129,1
??,298.0999993717179,313.4440234319053,1374.0585742152973,19.800033789051973,48,0
High,297.32039828901105,307.3922321366586,1956.6624712546218,21.296136006038054,30,0
??,299.58234650392836,309.1521375668433,2400.5649958533486,56.997370337749174,239,0
High,302.8134884061441,311.1509128736999,2178.3861350117495,66.62365072628432,244,0
High,304.6016778472875,309.811881514751,1360.9370505545983,73.56520817707136,73,0
??,302.63579068866574,309.5950226657032,1834.569800561556,,116,0
High,303.5520698501837,308.62509731322126,2011.5831971469825,78.17467152210362,207,0
Low,301.0306430617052,310.86646327774923,2793.3529627460366,38.57762629155948,228,0
High,303.35407830842126,311.2437269792361,1485.7726549178444,33.1816027955424,211,0
Medium,302.84420858003415,311.53289540901363,2771.87802745618,11.972883664158182,2,0
??,298.7698554192628,305.7036810790603,1801.8396547671102,41.49270991916654,123,0
Low,300.5199030212072,311.3103417571205,1520.5127777181142,55.596008668926274,162,0
??,303.04753121989694,314.53237178781234,1862.5745313983934,67.07860489257328,225,0
Medium,295.46056734189955,310.40986235528084,2182.3921984557073,28.721876794205922,84,0
Medium,303.0807928235583,312.15267082509246,1541.5958302575934,45.95138934585033,163,0
Medium,,310.56732307759216,1666.3025332834045,56.34066952298326,63,0
High,300.1468361712144,313.5474061859198,2567.274402776464,48.612200618886575,159,0
High,303.0827543955594,314.2958309459757,2798.4151386701888,29.181450218168543,245,0
??,297.53821078156693,306.8421989929636,1709.0763063974823,65.73977068065436,17,0
??,297.4580743930615,309.36860036557124,1438.1708863199044,22.13527087303536,33,0
Low,299.0276439846225,308.9238210093272,2469.0733119904667,73.34858836504549,55,0
Low,303.9464279757764,309.0521512329928,2160.7290996402326,76.68177243383678,229,0
??,295.0044278143721,306.25524181227877,1360.6418294009618,35.59012834526835,66,0
High,304.01383096641933,313.1361572598072,2714.8343702976335,36.33272533401663,180,0
Medium,296.53807024641605,305.35766243014933,1324.8792454398272,62.029478124203585,194,0
??,304.90086376067484,310.2822660772716,2200.570242613826,41.94020189864005,90,0
Low,304.54846993038467,311.6187838804469,1878.2996094297303,12.002710051946464,193,0
High,299.9467518959128,307.07469438058877,2090.598269183897,74.39137093726687,191,0
??,300.12720247812626,314.05850192098796,1541.142713056231,40.15252393760339,66,0
??,299.81549340275853,313.38549207024795,2300.9766388010426,24.24465703782179,208,0
High,301.35443645659524,309.7108372948393,2735.5515026133435,48.89648512041502,109,0
??,295.9072170223493,309.1114893234014,1933.481398471865,25.32343138139216,166,0
High,295.3261794834157,307.365679252111,2036.7332441091635,24.42153997771255,245,0
Medium,295.577029284159,312.29993224644966,1583.69867291021,,244,0
High,299.44365349241514,306.31743799631965,2626.98877400173,37.372960453262834,165,0
High,297.75547939219484,311.80237753843784,2753.879048223933,50.109529477725566,39,0
High,301.2203956237099,313.4245698611841,2458.075016137687,79.77778057678682,146,0
??,304.9244228937478,307.28471575917024,2068.4376034556863,70.13127080595379,210,0
??,298.86323173076465,313.66427402898756,2730.8749192138093,10.536955950285213,235,0
High,300.73841254104514,305.3332319943951,1446.1600885876428,13.538899667617283,132,0
??,,314.12787385386525,1965.5853758323497,52.70556080918712,196,0
Low,303.4727166772186,306.183622278513,2060.169130762261,53.83792567926086,141,0
Low,304.0223640346224,311.4575917793803,1987.0662716038028,71.47335908531954,90,0
??,303.7735561220526,307.5008246891394,2483.869259485925,54.0340022165278,48,0
??,304.74372238679257,313.36552391169613,2272.6446256261825,,63,0
High,295.27519185140414,310.1230036091547,1402.6535454692187,42.796135939255564,111,0
Medium,303.3981616214553,306.352411912465,1754.3220917488966,66.62897804698319,99,0
??,302.5177217303909,310.70991571325976,1742.522957419018,74.597747521886,184,0
Low,297.2869440940037,309.0788261019698,2105.011508468686,,103,0
